id,name,description,address,locality,region,latitude,longitude,openingHours,access,wheelchair,babyChange,unisex,male,female,drinkingWater,fee,operator,source,sourceId,sourceIds,sourceUrl,confidence,lastVerified
osm-node-2084044502,Public toilet,,,,,-43.0328816,171.5696516,Unknown,public,,,,,,,,Department of Conservation,OpenStreetMap,node/2084044502,node/2084044502,https://www.openstreetmap.org/node/2084044502,0.66,
osm-node-2084230455,Public toilet,,,,,-36.8151621,174.7488101,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2084230455,node/2084230455,https://www.openstreetmap.org/node/2084230455,0.55,
osm-node-2084230461,Public toilet,,,,,-36.8161051,174.7417388,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2084230461,node/2084230461,https://www.openstreetmap.org/node/2084230461,0.55,
osm-node-2084230525,Public toilet,,,,,-36.8186379,174.7447723,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2084230525,node/2084230525,https://www.openstreetmap.org/node/2084230525,0.55,
osm-node-2085313783,Public toilet,,,,,-36.7335965,175.6632661,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2085313783,node/2085313783,https://www.openstreetmap.org/node/2085313783,0.55,
osm-node-2090600009,Public toilet,,,,,-41.2565898,173.1019299,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2090600009,node/2090600009,https://www.openstreetmap.org/node/2090600009,0.55,
osm-node-2090600013,Public toilet,,,,,-41.2644291,173.1499145,Unknown,unknown,false,,,,,,false,,OpenStreetMap,node/2090600013,node/2090600013,https://www.openstreetmap.org/node/2090600013,0.65,2024-12-26
osm-node-2090727144,Public toilet,,,,,-36.8605202,174.776338,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2090727144,node/2090727144,https://www.openstreetmap.org/node/2090727144,0.65,
osm-node-2092264674,Public toilet,,,,,-38.0776141,175.2622802,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2092264674,node/2092264674,https://www.openstreetmap.org/node/2092264674,0.55,
osm-node-2100468378,Public toilet,,,,,-41.202382,174.875664,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2100468378,node/2100468378,https://www.openstreetmap.org/node/2100468378,0.55,
osm-node-2100536857,Public toilet,,,,,-39.2338507,176.8933164,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2100536857,node/2100536857,https://www.openstreetmap.org/node/2100536857,0.55,
osm-node-2100699815,Public toilet,,,,,-36.847549,174.8315858,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2100699815,node/2100699815,https://www.openstreetmap.org/node/2100699815,0.65,
osm-node-2100739057,Public toilet,,,,,-38.6835148,176.0679188,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2100739057,node/2100739057,https://www.openstreetmap.org/node/2100739057,0.65,2024-09-11
osm-node-2100761819,Public toilet,,,,,-40.2084289,176.1012692,Unknown,public,true,true,,,,,false,,OpenStreetMap,node/2100761819,node/2100761819,https://www.openstreetmap.org/node/2100761819,0.7,2024-09-11
osm-node-2100761841,Public toilet,,,,,-40.2104321,176.0976455,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2100761841,node/2100761841,https://www.openstreetmap.org/node/2100761841,0.55,
osm-node-2100904815,Public toilet,,,,,-40.3708775,175.6111807,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2100904815,node/2100904815,https://www.openstreetmap.org/node/2100904815,0.55,
osm-node-2101161181,Public toilet,,,,,-39.9144262,175.034407,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2101161181,node/2101161181,https://www.openstreetmap.org/node/2101161181,0.65,2025-06-21
osm-node-2101161187,Public toilet,,,,,-39.9144813,175.0320532,Unknown,unknown,limited,,,,true,,false,,OpenStreetMap,node/2101161187,node/2101161187,https://www.openstreetmap.org/node/2101161187,0.65,2025-06-21
osm-node-2101190229,Public toilet,,,,,-39.7632159,174.6357049,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2101190229,node/2101190229,https://www.openstreetmap.org/node/2101190229,0.55,
osm-node-2101198306,Public toilet,,,,,-39.756358,174.4745493,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2101198306,node/2101198306,https://www.openstreetmap.org/node/2101198306,0.65,2024-01-13
osm-node-2101254171,Public toilet,,,,,-39.4539085,173.860311,Unknown,public,,,,,,,,,OpenStreetMap,node/2101254171,node/2101254171,https://www.openstreetmap.org/node/2101254171,0.6,
osm-node-2101263777,Public toilet,,,,,-38.4654777,175.0183678,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2101263777,node/2101263777,https://www.openstreetmap.org/node/2101263777,0.55,
osm-node-2102308353,Public toilet,,,,,-38.6523088,174.6278138,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2102308353,node/2102308353,https://www.openstreetmap.org/node/2102308353,0.55,
osm-node-2103669080,Public toilet,,,,,-41.2202238,175.1824363,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2103669080,node/2103669080,https://www.openstreetmap.org/node/2103669080,0.55,
osm-node-2109482752,Public toilet,,,,,-46.0085975,167.4547874,24/7,unknown,,,,,,,,,OpenStreetMap,node/2109482752,node/2109482752,https://www.openstreetmap.org/node/2109482752,0.63,
osm-node-2109701659,Public toilet,,,,,-44.699932,169.4944463,Unknown,public,,,true,,,,false,,OpenStreetMap,node/2109701659,node/2109701659,https://www.openstreetmap.org/node/2109701659,0.6,
osm-node-2110335458,Public toilet,,,,,-42.956577,171.0194484,Unknown,unknown,true,false,,,,,false,,OpenStreetMap,node/2110335458,node/2110335458,https://www.openstreetmap.org/node/2110335458,0.65,
osm-node-2119917983,Public toilet,,,,,-40.6441861,175.7031892,Unknown,unknown,true,true,,,,,false,,OpenStreetMap,node/2119917983,node/2119917983,https://www.openstreetmap.org/node/2119917983,0.65,2025-02-12
osm-node-2128872915,Public toilet,,,,,-36.7681777,174.6759876,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2128872915,node/2128872915,https://www.openstreetmap.org/node/2128872915,0.55,
osm-node-2128873028,Public toilet,,,,,-36.7715357,174.6707848,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2128873028,node/2128873028,https://www.openstreetmap.org/node/2128873028,0.55,
osm-node-2132032805,Public toilet,,,,,-36.2963641,174.523638,24/7,unknown,true,true,false,true,true,,false,,OpenStreetMap,node/2132032805,node/2132032805,https://www.openstreetmap.org/node/2132032805,0.73,
osm-node-2132092735,Public toilet,,,,,-36.1611721,174.444132,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2132092735,node/2132092735,https://www.openstreetmap.org/node/2132092735,0.55,
osm-node-2133387879,Public toilet,,,,,-36.1384532,174.0219654,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2133387879,node/2133387879,https://www.openstreetmap.org/node/2133387879,0.65,2025-10-29
osm-node-2133435571,Public toilet,,,,,-35.9839702,174.4443988,Unknown,public,true,false,,,,,false,,OpenStreetMap,node/2133435571,node/2133435571,https://www.openstreetmap.org/node/2133435571,0.7,2025-08-10
osm-node-2133435742,Public toilet,,,,,-36.0294399,174.5072713,Unknown,public,true,,,true,true,,false,,OpenStreetMap,node/2133435742,node/2133435742,https://www.openstreetmap.org/node/2133435742,0.7,2024-11-23
osm-node-2133452061,Public toilet,,,,,-36.0943911,174.5873024,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2133452061,node/2133452061,https://www.openstreetmap.org/node/2133452061,0.55,
osm-node-2133466468,Public toilet,,,,,-36.0867383,174.5889553,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2133466468,node/2133466468,https://www.openstreetmap.org/node/2133466468,0.55,
osm-node-2133536927,Public toilet,,,,,-41.312491,174.829918,Unknown,unknown,true,true,,true,true,,,,OpenStreetMap,node/2133536927,node/2133536927,https://www.openstreetmap.org/node/2133536927,0.65,
osm-node-2139901193,Public toilet,,,,,-36.9082141,174.8493562,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2139901193,node/2139901193,https://www.openstreetmap.org/node/2139901193,0.65,2025-11-02
osm-node-2159898663,Public toilet,,,,,-37.6971708,176.1656831,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2159898663,node/2159898663,https://www.openstreetmap.org/node/2159898663,0.65,2022-05-14
osm-node-2159898748,Public toilet,,,,,-38.1352579,176.2452712,Unknown,unknown,,,,,,,false,,OpenStreetMap,node/2159898748,node/2159898748,https://www.openstreetmap.org/node/2159898748,0.55,
osm-node-2176830034,Public toilet,,,,,-37.8058421,175.3023741,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2176830034,node/2176830034,https://www.openstreetmap.org/node/2176830034,0.55,
osm-node-2176830035,Public toilet,,,,,-37.8062267,175.3032627,Unknown,public,true,,,,,,false,,OpenStreetMap,node/2176830035,node/2176830035|way/644290306,https://www.openstreetmap.org/node/2176830035,0.7,2024-04-07
osm-node-2179685866,Public toilet,,,,,-44.6822067,169.1038005,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2179685866,node/2179685866,https://www.openstreetmap.org/node/2179685866,0.55,
osm-node-2184708330,Public toilet,,,,,-45.2325228,167.8115453,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2184708330,node/2184708330,https://www.openstreetmap.org/node/2184708330,0.55,
osm-node-2184708331,Public toilet,,,,,-45.2313139,167.8126745,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2184708331,node/2184708331,https://www.openstreetmap.org/node/2184708331,0.55,
osm-node-2184708332,Public toilet,,,,,-45.2305668,167.8121427,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2184708332,node/2184708332,https://www.openstreetmap.org/node/2184708332,0.55,
osm-node-2185100373,Public toilet,,,,,-46.0985417,168.9466193,Mo-Su 06:00-21:00,unknown,,,,,,,,,OpenStreetMap,node/2185100373,node/2185100373,https://www.openstreetmap.org/node/2185100373,0.63,
osm-node-2185100374,Public toilet,,,,,-46.4454706,169.8067273,24/7,public,true,false,,true,true,,false,,OpenStreetMap,node/2185100374,node/2185100374|way/606663919,https://www.openstreetmap.org/node/2185100374,0.78,
osm-node-2185100398,Public toilet,,,,,-46.4440746,169.8024849,Unknown,unknown,false,,,,,,false,,OpenStreetMap,node/2185100398,node/2185100398,https://www.openstreetmap.org/node/2185100398,0.65,2025-04-05
osm-node-2189399763,Public toilet,,,,,-41.2241053,174.8752733,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2189399763,node/2189399763,https://www.openstreetmap.org/node/2189399763,0.55,
osm-node-2197004990,Public toilet,,,,,-39.6704634,176.8767116,Unknown,public,true,,,true,true,,,,OpenStreetMap,node/2197004990,node/2197004990,https://www.openstreetmap.org/node/2197004990,0.7,
osm-node-2201377719,Public toilet,,,,,-37.91139,176.8763389,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2201377719,node/2201377719,https://www.openstreetmap.org/node/2201377719,0.55,
osm-node-2207195607,Public toilet,,,,,-40.8768395,175.2244341,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2207195607,node/2207195607,https://www.openstreetmap.org/node/2207195607,0.55,
osm-node-2207207534,Public toilet,,,,,-40.88035,175.2202819,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2207207534,node/2207207534,https://www.openstreetmap.org/node/2207207534,0.55,
osm-node-2207719949,Public toilet,,,,,-41.457897,173.7046209,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2207719949,node/2207719949,https://www.openstreetmap.org/node/2207719949,0.55,
osm-node-2236519421,Public toilet,,,,,-35.2624866,174.1222095,Unknown,unknown,true,,,,,,false,,OpenStreetMap,node/2236519421,node/2236519421,https://www.openstreetmap.org/node/2236519421,0.65,2025-02-13
osm-node-2240383054,Public toilet,,,,,-37.5181037,175.7957482,Unknown,unknown,false,,,,,,false,,OpenStreetMap,node/2240383054,node/2240383054,https://www.openstreetmap.org/node/2240383054,0.65,
osm-node-2241588139,Public toilet,,,,,-43.3657752,172.6674737,Unknown,unknown,,,,,,,,,OpenStreetMap,node/2241588139,node/2241588139,https://www.openstreetmap.org/node/2241588139,0.55,
